employee_id,memory,processing,storage,inverse_price
1743,0.375,0.225,0.15,0.25
1752,0.45,0.225,0.075,0.25
1758,0.375,0.3,0.075,0.25
1825,0.3,0.3,0.15,0.25
1842,0.3,0.3,0.15,0.25
1958,0.45,0.3,0,0.25
1267,0.45,0.225,0.075,0.25
1650,0.375,0.3,0.075,0.25
1121,0.3,0.3,0.15,0.25
1843,0.375,0.225,0.15,0.25
1503,0.375,0.225,0.15,0.25
1424,0.3,0.3,0.15,0.25
1671,0.45,0.3,0,0.25
1104,0.3,0.225,0.225,0.25
1597,0.45,0.3,0,0.25
1791,0.3,0.3,0.15,0.25
1534,0.375,0.225,0.15,0.25
1034,0.375,0.225,0.15,0.25
1834,0.45,0.225,0.075,0.25
1376,0.45,0.3,0,0.25
1491,0.375,0.225,0.15,0.25
1878,0.375,0.3,0.075,0.25
1079,0.3,0.225,0.225,0.25
1897,0.45,0.3,0,0.25
1665,0.3,0.225,0.225,0.25
1473,0.375,0.3,0.075,0.25
1366,0.3,0.3,0.15,0.25
1477,0.3,0.3,0.15,0.25
1655,0.45,0.3,0,0.25
1500,0.45,0.225,0.075,0.25
1400,0.45,0.3,0,0.25
1918,0.45,0.225,0.075,0.25
1991,0.375,0.225,0.15,0.25
1465,0.45,0.225,0.075,0.25
1481,0.3,0.225,0.225,0.25
1642,0.45,0.225,0.075,0.25
1287,0.3,0.225,0.225,0.25
1091,0.45,0.225,0.075,0.25
1689,0.375,0.225,0.15,0.25
1461,0.3,0.3,0.15,0.25
1305,0.225,0.3,0.225,0.25
1803,0.225,0.3,0.225,0.25
1565,0.15,0.375,0.225,0.25
1404,0.15,0.375,0.225,0.25
1977,0.225,0.3,0.225,0.25
1666,0.225,0.3,0.225,0.25
1014,0.15,0.375,0.225,0.25
1608,0.225,0.3,0.225,0.25
1766,0.15,0.375,0.225,0.25
1193,0.225,0.3,0.225,0.25
1983,0.15,0.375,0.225,0.25
1416,0.225,0.3,0.225,0.25
1200,0.225,0.3,0.225,0.25
1410,0.15,0.375,0.225,0.25
1435,0.225,0.3,0.225,0.25
1979,0.15,0.375,0.225,0.25
1476,0.225,0.3,0.225,0.25
1485,0.15,0.375,0.225,0.25
1119,0.15,0.375,0.225,0.25
1806,0.15,0.375,0.225,0.25
1903,0.225,0.3,0.225,0.25
1627,0.15,0.375,0.225,0.25
1947,0.15,0.375,0.225,0.25
1746,0.225,0.3,0.225,0.25
1867,0.15,0.375,0.225,0.25
1668,0.225,0.3,0.225,0.25
1734,0.225,0.3,0.225,0.25
1945,0.225,0.3,0.225,0.25
1016,0.15,0.375,0.225,0.25
1372,0.225,0.3,0.225,0.25
1347,0.225,0.3,0.225,0.25
1584,0.225,0.3,0.225,0.25
1093,0.225,0.3,0.225,0.25
1911,0.15,0.375,0.225,0.25
1099,0.225,0.3,0.225,0.25
1011,0.225,0.3,0.225,0.25
1778,0.15,0.375,0.225,0.25
1993,0.15,0.375,0.225,0.25
1811,0.15,0.375,0.225,0.25
1349,0.15,0.375,0.225,0.25
1595,0.15,0.375,0.225,0.25
1254,0.15,0.375,0.225,0.25
1215,0.225,0.3,0.225,0.25
1340,0.15,0.375,0.225,0.25
1930,0.225,0.3,0.225,0.25
1916,0.15,0.375,0.225,0.25
1223,0.225,0.3,0.225,0.25
1841,0.15,0.375,0.225,0.25
1740,0.225,0.3,0.225,0.25
1484,0.225,0.3,0.225,0.25
1515,0.15,0.375,0.225,0.25
1069,0.225,0.3,0.225,0.25
1670,0.15,0.375,0.225,0.25
1466,0.225,0.3,0.225,0.25
1701,0.225,0.3,0.225,0.25
1184,0.15,0.375,0.225,0.25
1530,0.15,0.375,0.225,0.25
1047,0.15,0.375,0.225,0.25
1658,0.15,0.375,0.225,0.25
1428,0.15,0.375,0.225,0.25
1260,0.15,0.375,0.225,0.25
1554,0.225,0.3,0.225,0.25
1892,0.15,0.375,0.225,0.25
1441,0.15,0.375,0.225,0.25
1624,0.225,0.3,0.225,0.25
1289,0.225,0.3,0.225,0.25
1883,0.15,0.375,0.225,0.25
1549,0.225,0.3,0.225,0.25
1110,0.225,0.3,0.225,0.25
1532,0.15,0.375,0.225,0.25
1203,0.225,0.3,0.225,0.25
1836,0.225,0.3,0.225,0.25
1132,0.15,0.375,0.225,0.25
1700,0.225,0.3,0.225,0.25
1386,0.15,0.375,0.225,0.25
1978,0.15,0.375,0.225,0.25
1943,0.15,0.375,0.225,0.25
1290,0.15,0.375,0.225,0.25
1510,0.15,0.375,0.225,0.25
1281,0.15,0.375,0.225,0.25
1558,0.225,0.3,0.225,0.25
1419,0.225,0.3,0.225,0.25
1543,0.15,0.375,0.225,0.25
1910,0.15,0.375,0.225,0.25
1052,0.225,0.3,0.225,0.25
1469,0.225,0.3,0.225,0.25
1350,0.15,0.15,0.45,0.25
1855,0.225,0.075,0.45,0.25
1146,0.225,0.15,0.375,0.25
1161,0.225,0.15,0.375,0.25
1243,0.225,0.075,0.45,0.25
1688,0.225,0.15,0.375,0.25
1720,0.15,0.15,0.45,0.25
1744,0.225,0.15,0.375,0.25
1967,0.225,0.15,0.375,0.25
1764,0.225,0.15,0.375,0.25
1696,0.15,0.225,0.375,0.25
1575,0.15,0.15,0.45,0.25
1117,0.15,0.15,0.45,0.25
1691,0.225,0.15,0.375,0.25
1128,0.225,0.075,0.45,0.25
1463,0.225,0.15,0.375,0.25
1625,0.225,0.15,0.375,0.25
1377,0.15,0.225,0.375,0.25
1353,0.15,0.225,0.375,0.25
1229,0.15,0.15,0.45,0.25