Product_Name,Species,Breed,Age,Age_UOM,Gender,Weight,Weight_UOM
Hills prescription diet u/d canned food and dry food,Dog,Dalmatian,8,Years,Male,96.4,Pound
EVO Grainfree Turkey and Chicken Formula Cat and Kitten,Cat,Himalayan,2,Years,Female,6.6,Pound
Rachael Ray Nutrish,Cat,Domestic (unspecified),4,Years,Male,12,Pound
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),12,Years,Female,5.3,Kilogram
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),9,Years,Male,4.4,Kilogram
Merrick Purrfect Bistro Grain Free Real Chicken Recipe,Cat,Mixed (Cat),9,Years,Male,9.5,Kilogram
Earthborn Holistic Primitive Natural,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Nature's Variety Instinct Limited Ingredient Diet Lamb Meal & Peas Formula,Dog,Retriever - Golden,8.5,Years,Male,66,Pound
California Natural Grain Free,Dog,Schnauzer - Miniature,2.5,Years,Male,8.2,Kilogram
California Natural Grain Free,Dog,Schnauzer - Miniature,7,Years,Male,9.6,Kilogram
California Natural Grain-Free,Dog,Mixed (Dog),6,Years,Female,25.1,Kilogram
California Natural Grain-Free,Dog,Retriever - Labrador,8,Years,Female,32.1,Kilogram
California Natural Grain-Free,Dog,Retriever - Labrador,5,Years,Female,25.6,Kilogram
Zignature Kangaroo Limited,Dog,Spaniel - Cocker American,4,Years,Male,15.5,Kilogram
kangaroo as protein source -,Dog,Shih Tzu,8,Years,Male,6.08,Kilogram
Acana Lamb & Apple Singles,Dog,Retriever - Golden,10,Years,Male,29.6,Kilogram
Zignature Kangaroo Formula,Dog,Retriever - Labrador,13,Years,Female,33.18,Kilogram
Grain Free Easy to Digest,Dog,Terrier - Bull,8,Years,Male,26.3,Kilogram
Grain Free Easy to Digest,Dog,Spaniel - Cocker,13,Years,Female,11.7,Kilogram
Taste of the Wild,Dog,Hound - Afghan,11,Years,Female,32.4,Kilogram
Zignature Kangaroo Formula,Dog,Retriever - Golden,6,Years,Male,40,Kilogram
Kirkland Signature Nature's,Dog,Retriever - Golden,11,Years,Female,31.1,Kilogram
Blue Buffalo Basics salmon and potato dry food - regular and grain-free:,Dog,Doberman Pinscher,7,Years,Male,Not provided,Not provided
4health Grain-Free Large Breed,Dog,Unknown,Not provided,Not provided,Unknown,Not provided,Not provided
4health Grain Free Beef & Potato Formula,Dog,Retriever - Golden,6.2,Years,Male,34.5,Kilogram
Zignature Lamb,Dog,Bulldog,9,Years,Male,28.1,Kilogram
Zignature Kangeroo and Lentil,Dog,Mixed (Dog),9,Years,Male,21.3,Kilogram
4Health Grain Free,Dog,Mixed (Dog),9,Years,Female,29.9,Kilogram
Merrick grain free salmon and sweet potato dry,Dog,Mixed (Dog),8.52,Years,Female,20.5,Kilogram
Earthborn Coastal Catch dry,Dog,Boxer (German Boxer),7.6,Years,Female,33.2,Kilogram
Halo grain-free dry food (exact,Dog,Great Dane,4.03,Years,Male,64,Kilogram
Taste of the Wild grain free lamb,Dog,Retriever - Labrador,9.37,Years,Male,50.8,Kilogram
Taste of the Wild Prey Angus Beef Limited Ingredient Formula for Dogs (Grain Free),Dog,Great Dane,2,Years,Female,145,Pound
Earthborn Holistic grain free,Dog,Setter - Gordon,6.5,Years,Male,80,Pound
FREEDOM - Grain Free,Dog,Schnauzer,10,Years,Male,35,Pound
fromm heartland gold adult grain free,Dog,Saluki,2.5,Years,Female,55,Pound
Zignature Venison Formula,Dog,Unknown,4,Years,Male,70,Pound
California Natural Kangaroo and Red Lentils,Dog,Portuguese Water Dog,8.5,Years,Female,40,Pound
Kirkland Nature’s Domain Turkey and Sweet Potato food,Dog,Greyhound,7,Years,Male,75,Pound
Nature's Recipe Easy to Digest,Dog,Shepherd Dog - Australian,10,Years,Female,40,Pound
Rachael Ray Nutrish Zero Grain Natural Salmon & Sweet Potato,Dog,Mixed (Dog),3.5,Years,Male,35,Pound
Purina one lamb and rice formula,Dog,Mixed (Dog),8,Years,Female,43,Pound
ACANA Lamb and Apple singles,Dog,Retriever - Golden,11,Years,Male,85,Pound
Natures Domain Organic,Dog,Chinese Crested Dog –,7,Years,Male,20,Pound
Earthborn holistics coastal catch,Dog,Poodle - Standard,8,Years,Male,70,Pound
Kirkland salmon with sweet potatoes.,Dog,Retriever - Labrador,10,Years,Male,104,Pound
Victor Hi-Pro Plus,Dog,Mixed (Dog),17,Months,Male,61,Pound
Zignature Kangaroo Formula,Dog,Retriever - Golden,5,Years,Female,73,Pound
4 Health Grain Free Beef &,Dog,Retriever - Golden,4,Years,Male,65,Pound
Orijen,Dog,Great Dane,Not provided,Not provided,Not provided,Not provided,Not provided
Fromm Lamb and Lentil,Dog,Hound - Basset,9,Years,Male,65,Pound
Natural Balance L.I.D. Limited Ingredient Diets Sweet Potato &,Dog,Pointing Dog - Hungarian Short-haired,13,Years,Male,57,Pound
Natural Balance L.I.D. Limited Grain-Free Dry Dog Food 26-lb,Dog,Pointer - English,4.5,Years,Male,50,Pound
Rachel Ray Nutrish,Dog,Shih Tzu,13,Years,Male,15,Pound
Earthborn meadowfeast,Dog,Mixed (Dog),10,Years,Female,42,Pound
GO Venison Grain Free Kibble,Dog,Retriever - Golden,13,Years,Female,70,Pound
"Halo Salmon Dry Food, Pinnacle Trout and Sweet Potato Dry dog",Dog,Mixed (Dog),11,Years,Male,55,Pound
Zignature Kangaroo,Dog,Bulldog - French,5,Years,Male,33,Pound
Kirkland Signature Nature's,Dog,Sheepdog - Shetland,16,Years,Female,35,Pound
"Lotus Oven-Baked Fish Recipe Grain-Free Dry Dog Food ,",Dog,Mixed (Dog),4.5,Years,Female,48,Pound
Earthborne Holistic Grainfree,Dog,Retriever - Golden,10.5,Years,Female,72,Pound
California Natural Grain Free,Dog,Bulldog - French,3,Years,Female,30,Pound
4health Grain Free Large Breed,Dog,Great Dane,3,Years,Male,145,Pound
Merrick Grain free real rabbit and,Dog,Bulldog,7,Years,Female,36,Pound
Natural Balance Sweet Potato,Dog,Doberman Pinscher,3,Years,Male,103,Pound
V-Dog Kinderkibble,Dog,Mixed (Dog),12,Years,Female,48,Pound
Taste of the Wild Grain Free,Dog,Shepherd Dog - German,2,Years,Male,78,Pound
Nutri source- adult,Dog,Great Dane,4,Years,Male,130,Pound
Blue Buffalo Basics Limited Ingredient Grain-Free Formula Salmon & Potato Recipe Adult,Dog,Spaniel - Cocker American,10,Years,Male,27,Pound
Kirkland Signature Nature's Domain Organic Chicken & Pea,Dog,Retriever - Labrador,8,Years,Male,82,Pound
Natures Domain,Dog,Retriever - Labrador,6,Years,Male,65,Pound
Fromm Surf & Turf,Dog,Terrier - Irish,7,Years,Male,Not provided,Not provided
Earthborn Holistic Great Plains,Dog,Retriever - Golden,7,Years,Female,70,Pound
Fromm Lamb and Lentil Recipe,Dog,Retriever - Golden,7,Years,Male,76,Pound
blue buffalo lamb and brown rice,Dog,Pinscher - Miniature,11,Years,Male,12.5,Pound
California Naturals Grain Free Venison and Sweet Potato Dog,Dog,Mixed (Dog),6,Years,Female,48,Pound
Acana Pork and Squash Singles,Dog,Retriever - Golden,7,Years,Male,88,Pound
Zignature Kangaroo Formula -,Dog,Terrier - Irish Soft-,8,Years,Male,19.9,Kilogram
California Naturals Salmon,Dog,Poodle - Standard,9,Years,Female,50,Pound
Earthborn Holistic Meadow Feast,Dog,Cattle Dog - Australian,7,Years,Male,47,Pound
Grain Free Dog food,Dog,Mixed (Dog),5,Years,Male,55,Pound
Kirkland Signature Nature's,Dog,Poodle - Standard,12,Months,Male,44,Pound
WholeHearted Grain Free All,Dog,Terrier - Boston,7,Years,Male,30,Pound
ZIGNATURE LAMB FORMULA,Dog,Retriever - Golden,4,Years,Male,80,Pound
First Mate Pacific Ocean Fish,Dog,Cattle Dog - Australian,7.5,Years,Female,70,Pound
Earthborn Holistic Meadow Feast,Dog,Bulldog - French,5,Years,Male,30,Pound
"Acana Singles Duck and Pear,",Dog,Retriever - Golden,6,Years,Male,44,Kilogram
"Nutro Grain Free Chicken Lentil and Sweet Potato Adult, Acana",Dog,Unknown,1,Years,Female,51.7,Pound
NutriSource Chicken and peas,Dog,Retriever - Golden,8,Years,Not provided,Not provided,Not provided
Kirkland Signature Heavy Weight,Dog,Retriever - Labrador,12,Years,Female,70,Pound
Zignature Kangaroo Formula,Dog,Berger Picard or Sheepdog - Picardy,35,Months,Male,56,Pound
Taste of the Wild Pine Forrest Venison and Legumes,Dog,Retriever - Golden,3,Years,Female,68.5,Pound
Zignature Whitefish Limited Ingredient Formula Grain-Free,Dog,Mixed (Dog),9,Years,Male,50,Pound
Acana Lamb and apple single,Dog,Samoyed,4,Years,Female,42.4,Pound
ACANA SINGLES DUCK AND,Dog,Sheepdog - Old English,8,Years,Male,36,Kilogram
Kirkland Natures Domain Salmon Meal and Sweet Potato Formula,Dog,Mixed (Dog),7,Years,Female,45,Pound
Blue Buffalo Wilderness Salmon Recipe Grain-Free Dry Dog,Dog,Retriever - Labrador,9,Years,Female,62,Pound
Fromm grain free dog foods,Dog,Shepherd Dog -,4,Years,Male,62,Pound
Earthborn Lamb Meal,Dog,Terrier - Boston,7,Years,Female,21,Pound
Zignature (various protein,Dog,Retriever - Golden,4,Years,Male,67,Pound
"Earthborn Holistic Meadow Grain Free Great Plains Feast, Natural",Dog,Boxer (German Boxer),6,Years,Male,44.1,Kilogram
Fromm Large Breed Heartland Gold Grain Free,Dog,Great Dane,2,Years,Female,150,Pound
"Earthborn Holistic Meadow Feast Grain Free, Earthborn Holistic",Dog,Retriever - Golden,6.7,Years,Male,75,Pound
Taste of the Wild Grain-Free,Dog,Great Dane,3,Years,Female,Not provided,Not provided
Grain free dry dog food,Dog,Sheepdog - Shetland,11,Years,Male,40,Pound
Zignature Kangaroo Limited Ingredient Formula Grain Free,Dog,Retriever - Golden,3,Years,Male,63,Pound
Dick Van Patten's Natiral Sweet Potato and Fish Formula,Dog,Retriever - Golden,5,Years,Male,36.4,Kilogram
Zignature Kangaroo and Lentil -,Dog,Shepherd Dog -,5,Years,Male,27,Kilogram
Zignature (brand) Kangaroo Kibble Limited Ingredient Diet,Dog,Terrier - Yorkshire,6,Years,Male,3.56,Kilogram
Zignature Kangaroo Formula,Dog,Mixed (Dog),4,Years,Male,31.2,Kilogram
V-Dog Kinder Kibble,Dog,Pit Bull,3,Years,Female,55,Pound
Acana Pork and Squash,Dog,Retriever - Golden,4,Years,Male,67,Pound
Merrick lil plates,Dog,Maltese,10,Years,Male,11,Pound
CANIDAE Grain-Free PURE Fields with Chicken Small Breed,Dog,Schnauzer - Miniature,4,Years,Male,20,Pound
Pure Balance Wild & Free Grain Free Formula,Dog,Shepherd Dog - Australian,7,Years,Male,59,Pound
California Natural Grain Free - Limited Ingredient,Dog,Lhasa Apso,9,Years,Female,6.3,Kilogram
Diamond Naturals Grain Free,Dog,Great Dane,3,Years,Male,140,Pound
Zignature lamb,Dog,Retriever - Golden,Not provided,Not provided,Female,Not provided,Not provided
Zignature Kangaroo Formula Limited Ingredient Formula ,Dog,Retriever - Golden,4,Years,Male,86,Pound
Canidae (Pet Food made by Pet People) Grain Free PURE Land Limited Ingredient Diet made with Fresh Bison Adult,Dog,Boxer (German Boxer),9,Years,Female,58,Pound
"Zignature Kangaroo Limited Ingredient Formula Grain-Free Dry Dog Food, Canned Dog",Dog,Terrier - Yorkshire,8,Years,Female,11,Pound
Kirkland Signature Nature's Domain Salmon Meal & Sweet Potato Dog Food,Dog,Shepherd Dog -,10,Years,Male,108,Pound
Earthborn Holistic Meadow Feast with Lamb Meal Grain Free,Dog,Retriever - Golden,6.5,Years,Male,73,Pound
Earthborn Holistic Meadow Feast Lamb Blend,Dog,Retriever - Golden,6,Years,Male,80,Pound
Acana Lamb and Apple,Dog,Unknown,Not provided,Not provided,Unknown,Not provided,Not provided
Whole Earth Farms grain free dog food,Dog,Spaniel - French,8,Years,Female,45,Pound
Kirkland Signature Nature's Domain Organic Chicken & Pea Formula Dog Food 30 lb Item,Dog,Terrier - Bull - Staffordshire,6,Years,Male,80,Pound
Zignature Kangaroo Limited Ingredient Formula Grain-Free Dog Food,Dog,Retriever - Golden,35,Months,Female,53,Pound
Nature's domain Organic chicken and Pea purchased at costco,Dog,Retriever - Golden,6,Years,Female,82,Pound
Nature's Domain Puppy Chicken and Pea Formula,Dog,Retriever - Labrador,1,Years,Female,55,Pound
MERRICK LID (ALL MEAT VARIETES) NATURE'S VARIETY LID (ALL MEAT VARIETIES) TASTE OF THE WILD GRAIN-FREE (ALL MEAT VARIETIES) CANIDAE LID (ALL MEAT VARIETIES),Dog,Alaskan Malamute,7,Years,Male,95,Pound
Natural Balance L.I.D. Limited ingredients diets sweet potato and fish dry dog formula,Dog,Rottweiler,28,Months,Female,80.5,Pound
Acana Lamb and Apple Singles Formula,Dog,Pug,5,Years,Male,8.75,Kilogram
Kirkland Signature Nature's Domain Organic Chicken & Pea Dog Food 30 lb.,Dog,Coonhound - Bluetick,5,Years,Male,78.4,Pound
"Zignature Kangaroo Formula, Nature's Variety Instinct Limited Ingredient Diet - Duck, Nature's Variety Instinct Limited Ingredient Diet - Lamb",Dog,Retriever - Golden,10,Years,Female,84,Pound
4health Untamed Open Highland Lamb & Lentil,Dog,Mixed (Dog),4,Years,Female,31,Pound
Honest Kitchen Grain Free Beef,Dog,Pointing Dog -,5,Years,Male,Not provided,Not provided
Taste of the Wild venison/bison,Dog,Retriever - Labrador,9,Years,Male,90.9,Pound
Abound Natural Dog Food Salmon & Sweet Potato Recipe,Dog,Dalmatian,7,Years,Female,28.2,Kilogram
Nature's Domain Organic Wellness CORE Natural Grain,Dog,Retriever (unspecified),5,Years,Female,60,Pound
Wellness CORE Natural Grain,Dog,Spitz - German,10,Years,Male,14,Pound
Taste of the Wild High Prairie,Dog,Retriever - Golden,5,Years,Male,71,Pound
Wellness Grain-Free Complete Health Large Breed Adult Deboned Chicken & Chicken Meal Recipe Dry Dog Food 24-lb,Dog,Mastiff,2,Years,Male,167,Pound
Taste of the Wild dog food,Dog,Mixed (Dog),10,Years,Female,100,Pound
ACANA Grain Free Chicken Turkey and Nest Laid Eggs Dry Dog Food,Dog,Doberman Pinscher,5,Years,Male,Not provided,Not provided
Acana Free Run Poultry dry,Dog,Doberman Pinscher,9.72,Years,Male,45,Kilogram
Zignature Kangaroo Formula,Dog,Shepherd Dog -,Not provided,Not provided,Not provided,Not provided,Not provided
ACANA singles: Pork and Squash Lamb and Apple,Dog,Retriever - Golden,9,Years,Female,31.4,Kilogram
"Zignature Kangaroo Grain Free Formula, Earthborne Naturals Lamb Grain Free",Dog,Mastiff,6,Years,Male,96.4,Kilogram
Natural Balance Salmon and Chick Pea Natural Balance Chicken and chick pea Both are grain free.,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Zignature Kangaroo Formula (Limited Ingredient Formula),Dog,Spaniel - Cocker,2,Years,Male,15,Kilogram
Fromm Beef grain free,Dog,Spitz - American,12,Years,Female,22,Pound
"Petcurean Limited Ingredient Salmon Dry, Petcurean Now Fresh",Dog,Boxer (German Boxer),2,Years,Male,31.5,Kilogram
NUTRO WHOLESOME ESSENTIALS Senior Farm- Raised Chicken Brown Rice & Sweet Potato Recipe Dog Food,Dog,Retriever - Flat-coated,8.5,Years,Male,65,Pound
Blue Buffalo Wilderness High Protein grain Free dry dog food salmon flavor,Dog,Samoyed,8,Years,Male,Not provided,Not provided
California Natural Limited Ingredient Diet Kangaroo and red lentil,Dog,Retriever - Labrador,11,Years,Male,35.4,Kilogram
Acana Singles Duck & Bartlett Pear,Dog,Retriever - Labrador,6,Years,Male,74,Pound
Acana Duck and Pear,Dog,Portuguese Water Dog,15,Months,Female,44,Pound
4Health Grain-Free Beef and potato,Dog,Basset - Artesian Norman,11,Years,Male,45,Pound
Zignature Kangaroo and Lentil,Dog,Bulldog - American,4.5,Years,Female,31.6,Kilogram
Acana Large Breed Puppy Grain Free,Dog,Retriever - Golden,15,Weeks,Male,37,Kilogram
Fromm Pork and Pea,Dog,Shepherd Dog -,6,Years,Female,23.6,Kilogram
Castor and Pollux Grain Free Lamb and Rice,Dog,Retriever - Labrador,11,Years,Female,94,Pound
Earthborne coastal catch grain free dry dog food,Dog,Coonhound - (b)(6),2,Years,Female,50,Pound
"Nutro Wholesome Essentials Complete Daily Nutrition Small Bites Adult 1+ Years Pasture- Fed Lamb & Rice Recipe, Nutro Limited Ingredient Diet Grain Free Lamb & Potato Recipe Premium Loaf Adult, Nutro Hearty Stews Meaty Lamb & Rice Stew Chunks in Gravy Adult, Nutro Kitchen Classic Premium Loaf Grass Fed Lamb & Brown Rice Dinner Adult, Nutro Hearty Stews Grandma's Farm Stew with Lamb & Rice Chunks in Gravy Senior",Dog,Terrier - Bull - American Pit,3,Years,Female,53,Pound
Acna Duck and Pear,Dog,Mastiff,3,Years,Female,125,Pound
Acana Pork and Squash Singles Formula,Dog,Retriever - Golden,7.5,Years,Male,85,Pound
NRG Original Free Range,Dog,Mixed (Dog),8,Years,Female,39.4,Pound
Authority Grain Free,Dog,Hound (unspecified),6,Years,Male,27.6,Kilogram
Rachel Ray Nutrish real beef and brown rice ,Dog,Mixed (Dog),6,Years,Female,25.6,Kilogram
Zignature Kangaroo limited ingredient grain free dry,Dog,Mixed (Dog),5,Years,Male,26.2,Kilogram
"Honest Kitchen Whole Grain Turkey Beef or CHicken, Ziwi Peak (recently started)",Dog,Retriever - Golden,11.6,Years,Male,31.5,Kilogram
Acana Lamb and Apple Singles Formula with Grass - Fed Kentucky Lamb & Red Delicious Apples,Dog,Retriever - Golden,7,Years,Male,88,Pound
Pure Balance Wild and Free Superfood Blend Trout and Lentil Recipe,Dog,Catahoula Leopard Dog,2,Years,Male,27.4,Kilogram
DIAMOND NATURALS GRAIN-FREE WILD-CAUGHT WHITEFISH & SWEET POTATO FORMULA FOR DOGS,Dog,Pit Bull,11,Years,Female,64.5,Pound
Earthborn Holistic Meadow Feast,Dog,Retriever - Labrador,5,Years,Female,37,Kilogram
"Natural Balance Lamb and Brown Rice, Merrick Lamb Peas and Ancient Grains, Zignature Fish",Dog,Retriever - Golden,10,Years,Male,35.1,Kilogram
Kirkland signature Natures Domain Saslmon meal and sweet pototoe,Dog,Pit Bull,9,Years,Male,71,Pound
Blue Buffalo wilderness - natures evolutionary diet - with chicken and lifsource bits - 100% grain free,Dog,Shepherd Dog -,9,Years,Female,41,Pound
Fromm Heartland Grain Free Large Breed,Dog,Great Dane,8,Years,Male,74.9,Kilogram
Acana Appalachian Ranch Regionals Formula,Dog,Retriever - Golden,2.5,Years,Male,69,Pound
Zignature Kangaroo,Dog,Terrier - Black Russian,5.5,Years,Male,102,Pound
"Nature's Variety Instinct Raw Boost Chicken dry, Rachel Ray Nutrish Chicken and Veggie dry",Dog,Great Dane,6,Years,Male,71,Kilogram
"Weruva Caloric Melody Chicken Turkey & Salmon Dinner with Lentils Gran-Free Dry Dog Food, Earthborn Holistic Coastal Grain Free Natural Dog Food",Dog,Retriever - Golden,4.5,Years,Female,65,Pound
4health Untamed Open Highland Recipe Lamb and Lentil Formula Dog Food,Dog,Retriever - Golden,3,Years,Male,81.5,Pound
Taste of the Wild Pacific Stream,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Horizon Pulsar Pulses & Chicken Formula Grain Free,Dog,Mastiff,7,Years,Male,200,Pound
"Zignature Kangaroo Formula ""limited ingredient formula""",Dog,Retriever - Golden,13,Years,Male,86,Pound
"Taste of the Wild Prey Beef dry (will provide full diet history), 4Health beef stew canned",Dog,Great Dane,2.4,Years,Male,69.5,Kilogram
Wild calling xotic essentials rabbit meal recipe,Dog,Samoyed,8,Years,Female,50,Pound
