Product_Name,Species,Breed,Age,Age_UOM,Gender,Weight,Weight_UOM
Fromm Four-Star Nutritionals Grain-Free Salmon Tunalini Recipe Dry Dog Food. Fromm Four-Star Nutritionals Grain-Free Surf & Turf Formula Dry Dog Food.,Dog,Shepherd Dog - German,8,Years,Male,80,Pound
Taste of the Wild Sierra Mountain,Dog,Bulldog,10,Years,Male,56,Pound
BLUE BUFFALO GRAIN FREE LAMB AND POTATO,Dog,Retriever (unspecified),5,Years,Male,87,Pound
"Taste of the Wild, 4 health",Dog,Bulldog - American,3,Years,Male,56,Pound
Crave Premium dog food with proetin from Salmon and ocean fish 22 lbs,Dog,Terrier - Jack Russell,7,Years,Female,30,Pound
v-dog kinder kibble,Dog,Mixed (Dog),8,Years,Female,50,Pound
Zignature Kangaroo Limited Ingredient Formula Grain-Free Dry Dog Food,Dog,Other Canine/dog,6,Years,Male,5,Pound
Zignature Kangaroo Formula Limited Ingredient Formula,Dog,Retriever - Labrador,9,Months,Male,95,Pound
Earthborn Holistic Grain Free,Dog,Retriever - Golden,Not provided,Not provided,Not provided,Not provided,Not provided
Zignature brand dog food (pork beef turkey salmon and lamb) kibble and canned food,Dog,Great Dane,5,Years,Male,145,Pound
Kirkland Nature's Domain Salmon and Sweet Potato,Dog,Bulldog - American,6,Years,Female,65,Pound
Kirkland Signature Adult Dog chicken rice and vegetable formula,Dog,Mastiff - Neapolitan,5,Years,Female,85,Pound
Zignature Kangaroo Formula Limited Ingredient Formula,Dog,Akita,9,Years,Male,86,Pound
"canidae pure land, Kirkland grain free canned dog food",Dog,Retriever - Golden,3.6,Years,Male,75,Pound
Castor and Pollux Pristine Lamb and Lentils dog kibble,Dog,Not provided,4,Years,Female,38.25,Kilogram
"Castor & Pollux Organix Grain Free, Primal Freeze Dried Nuggets for dogs",Dog,Terrier - Yorkshire,1,Years,Male,3.51,Kilogram
4 Health Grain Free,Dog,Retriever - Golden,8,Years,Female,97,Pound
"Acana Heritage dog food, Prime nuggets grain free dog treats",Dog,Unknown,3,Years,Not provided,Not provided,Not provided
Earthborn Holistic Grain Free (Unknown Protein/Flavor),Dog,Unknown,Not provided,Not provided,Not provided,Not provided,Not provided
Zignature Duck Formula,Dog,Mixed (Dog),8,Years,Male,57,Pound
Royal Canin Multi Function Renal Support and Hydrolyzed Protein,Dog,Retriever - Labrador,3,Years,Female,50,Pound
Earthborn Holistic Western Feast,Dog,Other Canine/dog,4,Years,Female,26,Kilogram
Taste of the Wild - PREY Angus Beef,Dog,Other Canine/dog,5,Years,Female,64,Pound
Honest Kitchen grain free Turkey,Dog,Dachshund - Standard,14,Years,Female,12,Pound
FROMM Four Star Nutritionals,Dog,Other Canine/dog,2,Years,Female,50,Pound
Iams ProActive Health Adult MiniChunks Dry Dog Food,Dog,Mixed (Dog),7,Years,Female,13.8,Pound
Acana - grain free formulas. We fed both chicken and beef formulas.,Dog,Retriever - Labrador,1.5,Years,Female,70,Pound
sportmix wholesome lamb and rice grain free,Dog,Collie - Rough-haired,5,Years,Female,51,Pound
Taste of the Wild Grain High Prairie with Roasted Bison and Roasted Venison A Grain Free Diet. Taste of the Wild Pacific Stream A Grain Free Diet. Taste of the Wild Sierra Mountain,Dog,Retriever - Labrador,9,Years,Male,105,Pound
Zigniture Kangaroo Limited Ingredient Grain Free Dry Dog Food,Dog,Pointing Dog - German Short-haired,4,Years,Male,55,Pound
"Canidae Grain-Free Pure Wild Boar Limited Ingredient Adult Dry Dog Food, CanidaeGrain Free Pure FOundationsPuppy Formula with Canned CHicken",Dog,Foxhound - American,10,Years,Male,190,Pound
Zignature Kangeroo Limited Ingredient Formula Dry Dog Food,Dog,Weimaraner,6,Years,Male,65,Pound
Orijen Six Fish,Dog,Bulldog - American,11,Years,Male,95,Pound
Natures Recipe Grain Free Salmon Sweet Potatoe and Pumpkin,Dog,Shepherd (unspecified),11,Years,Male,67,Pound
Pro Pac Ultimates Grain Free Dog Food. Overland Red variety.,Dog,Shepherd Dog - German,7,Years,Male,100,Pound
"Castor and Pollux Organix Grain Free Chicken and Sweet Potato Recipe Dry Dog Food, Castor and Pollux Pristine Grain Free Grass Fed Lamb and Lentil Dry Dog Food",Dog,Shepherd Dog - German,4,Years,Female,85,Pound
Natures Domain Salmon Meal and Sweet Potato,Dog,Retriever - Golden,13,Years,Female,68,Pound
Taste of the Wild Salmon a grain Free Diet,Dog,Other Canine/dog,9,Years,Male,90,Pound
Acana Pork and Squash and Lamb and Apple - both Grain free.,Dog,Retriever - Golden,5.5,Years,Male,65,Pound
Blue Wilderness,Dog,Unknown,Not provided,Not provided,Female,Not provided,Not provided
Blue Wilderness Grain Free,Dog,Unknown,Not provided,Not provided,Female,Not provided,Not provided
Nutro grain free adult dry dog food farm-raised chicken lentils,Dog,Retriever - Golden,6,Years,Male,30.6,Kilogram
Zignature Kangaroo Limited,Dog,Unknown,Not provided,Not provided,Male,Not provided,Not provided
Blue Buffalo Life Protection Chicken and Brown Rice Adult,Dog,Unknown,Not provided,Not provided,Male,Not provided,Not provided
Acana (unknown variety),Dog,Unknown,Not provided,Not provided,Male,Not provided,Not provided
4Health Untamed (Lamb and Lentil),Dog,Unknown,Not provided,Not provided,Male,Not provided,Not provided
BLUE Wilderness Salmon For Adult Dogs,Dog,Rottweiler,7,Years,Male,98,Pound
4health Untamed Open Highland Recipe Lamb and Lentil Recipe,Dog,Retriever - Golden,2,Years,Female,25.7,Kilogram
Acana Grasslands Kibble Stella & Chewy's Raw Kibble Lamb,Dog,Pit Bull,8,Years,Female,65,Pound
Grain-free Rachel Ray Peak dry and canned food,Dog,Mixed (Dog),2.5,Years,Female,16,Kilogram
Dick Van Patten's Natural Balance Limited Ingredient Diets Grain Free Potato & Duck,Dog,American Pit Bull,10,Years,Male,77,Pound
Taste of The Wild (unkown variety),Dog,Cattle Dog - Australian,4,Years,Female,21.4,Kilogram
Acana (unknown variety) Grain Free,Dog,Sheepdog - Shetland,6,Years,Male,16.54,Kilogram
4 Health Large Breed Grain Free,Dog,Great Dane,2,Years,Male,62,Kilogram
Victor Grain Free Dog Food,Dog,Retriever - Labrador,5,Years,Male,47,Kilogram
Blue Buffalo (owner believes was a grain free variety),Dog,Schnauzer - Giant,5,Years,Male,50,Kilogram
"Acana whitefish and sweet potato, Merrick turkey and sweet potato",Dog,Retriever - Labrador,6,Years,Male,70,Pound
Orijen Puppy Dry Dog Food,Dog,Not provided,Not provided,Not provided,Not provided,Not provided,Not provided
Orijen Puppy Dry Dog Food,Dog,Retriever - Labrador,9.5,Years,Female,57,Pound
Acana Heritage Freshwater Fish Formula Grain Free Dry Dog Food,Dog,Retriever - Golden,4,Years,Male,84,Pound
Purina Grain Free Chicken and Egg dry food,Cat,Not provided,14,Years,Female,4.185,Kilogram
Wellness,Dog,Retriever - Labrador,12,Years,Female,66,Pound
ZiwiPeak Air Dried Lamb,Dog,Spaniel - Cocker,10,Years,Male,26,Pound
"Honest Kitchen Grain Free Turkey Recipe, Halo Natural Dry",Dog,Collie - Border,3,Years,Male,15.9,Kilogram
Earthborn Holistic Coastal Catch Grain-Free Natural Dry Dog Grain-Free Natural Dry Dog,Dog,Retriever - Golden,5,Years,Male,82,Pound
Zignature Grain Free (unknown,Dog,Bulldog,7,Years,Female,36.54,Kilogram
Zignature Salmon Limited Ingredient Formula Grain-Free,Dog,Mixed (Dog),12,Years,Female,40.2,Kilogram
ACANA Light & Fit,Dog,Mixed (Dog),10,Years,Male,19.5,Kilogram
4Health Grain Free Beef and Potato,Dog,Great Dane,7,Years,Male,200,Pound
Acana Prairie (also fed Acana,Dog,Retriever - Golden,6,Years,Male,86,Pound
4Health Untamed Open Highland Recipe Lamb & Lentil Formula,Dog,Shepherd Dog - German,1,Years,Female,66,Pound
Acana Singles Mackerel,Dog,Terrier - Tibetan,9,Years,Male,31.7,Pound
"Orijen Puppy, Acana Lamb and Apple",Dog,Spaniel - Springer English,2,Years,Female,40,Pound
Taste of the wild grain free,Dog,Doberman Pinscher,9,Years,Male,70,Pound
Purina One Smart Blend Lamb and Rice dry,Dog,Doberman Pinscher,9.7,Years,Male,29.9,Kilogram
Acana Natural Balance,Dog,Terrier - Bull - American Pit,4.9,Years,Female,18,Kilogram
Fromm Large Breed Adult dry,Dog,Poodle - Standard,16,Years,Male,24,Kilogram
Earthborn Coastal Catch dry,Dog,Retriever - Golden,9.3,Years,Male,36.3,Kilogram
Zignature Kangaroo dog food,Dog,Sheepdog - Old English,11,Years,Male,90,Pound
Wellness Core grain-free ocean fish dry,Dog,Bulldog,8.5,Years,Female,19.8,Kilogram
Wellness CORE Grain-Free,Dog,Bulldog,8,Years,Male,22.1,Kilogram
Wellness CORE Grain-Free,Dog,Bulldog,8.7,Years,Female,24.2,Kilogram
Acana lamb and apple dry,Dog,Spaniel - Cocker,5,Years,Male,15.8,Kilogram
Taste of The Wild PREY,Dog,Great Dane,3,Years,Male,61.7,Kilogram
Taste of The Wild - Salmon grain free,Dog,Retriever - Labrador,7,Years,Male,32.9,Kilogram
Hill's Science Diet Adult Grain Free,Dog,Mixed (Dog),6,Years,Female,40.3,Kilogram
Instinct Original Grain Free Recipe (unkown protein source),Dog,Terrier - Irish Soft-,9,Years,Female,Not provided,Not provided
Homemade raw diet,Dog,Schnauzer,Not provided,Not provided,Female,16,Kilogram
Wellness Complete Health Fish and Sweet Potato dry,Dog,Boxer (German Boxer),10.5,Years,Male,23.3,Kilogram
Wellness CORE Grain Free Wild Game Duck Turkey Boar & Rabbit Recipe Dry Dog Food 26-,Dog,Weimaraner,4.5,Years,Male,98,Pound
Zignature Trout and Salmon Meal,Dog,Great Dane,5,Years,Male,145,Pound
Earthborn Holistic Grain Free Meadow Feast with Lamb Meal,Dog,Terrier - Welsh,7.5,Years,Male,22.4,Pound
Grain-Free Salmon,Dog,Shepherd Dog -,11,Years,Male,30.1,Kilogram
"Taste of the Wild Whole Prey, Orijen",Dog,Great Dane,3,Years,Female,53.6,Kilogram
CANIDAE® ALL LIFE STAGES CHICKEN MEAL & RICE FORMULA DRY DOG FOOD,Dog,Doberman Pinscher,3.79,Years,Male,60,Kilogram
Nutro Max Limited Ingredient Diet Adult Large Breed Dry Dog,Dog,Retriever - Labrador,4,Years,Male,39.9,Kilogram
Zignature Kangaroo,Dog,American Pit Bull,2.5,Years,Male,56,Pound
Zignature Kangaroo Limited Ingredient Formula Grain-Free,Dog,Retriever - Golden,6,Years,Female,30.6,Kilogram
Blue Buffalo Life Protection Formula Adult Chicken & Brown Rice Recipe Dry Dog Food,Dog,Collie - Rough-haired,6,Years,Male,56,Pound
Taste of The Wild (unknown,Dog,Great Dane,8,Years,Female,61.8,Kilogram
Taste of The Wild (rotated,Dog,Doberman Pinscher,9,Years,Male,42.8,Kilogram
Blue Buffalo Grain Free,Dog,Great Dane,4,Years,Male,67,Kilogram
Acana,Dog,Papillon - Spaniel -,7,Years,Male,6.45,Kilogram
Blue Wilderness (unknown,Dog,Doberman Pinscher,8,Years,Male,42.27,Kilogram
Nutro Ultra small breed,Dog,Terrier - Jack Russell,9,Years,Male,10.18,Kilogram
Nutro Grain Free Senior Dry Dog Food Farm-Raised Chicken Lentils and Sweet Potato Recipe,Dog,Pit Bull,12,Years,Male,33.5,Kilogram
ACANA SINGLES LIMITED INGREDIENT DIET LAMB AND APPLE FORMULA GRAIN FREE DRY DOG FOOD,Dog,Pit Bull,5,Years,Male,Not provided,Not provided
Nature's Domain,Dog,Mixed (Dog),7,Years,Female,52,Pound
Earthborn Holistic Meadow Feast Grain Free,Dog,Setter - Gordon,7,Years,Male,63.8,Pound
Nulo grain free (pea based protein),Dog,Retriever - Labrador,6,Years,Male,64.5,Kilogram
Kirkland Nature's Domain Salmon and Sweet Potato,Dog,Bulldog - American,7,Years,Male,82,Pound
Zignature Turkey Formula Limited Ingredient (Grain-Free Turkey and Chickpea),Dog,Shepherd Dog - German,11.5,Years,Female,26,Kilogram
Halo Grain Free Senior Dog Holistic Turkey Turkey Liver & Duck,Dog,Mixed (Dog),10,Years,Female,12,Pound
Hills Science Diet sensitive stomach and skin adult dog food.,Dog,Dachshund - Standard Long-haired,9,Years,Male,25,Pound
Don't remember names of food but always boutique grain-free food,Dog,Retriever - Labrador,8,Years,Female,75,Pound
4health Grain Free Whitefish and Potato,Dog,American Pit Bull Terrier,11,Years,Female,45,Pound
Merrick Grain Free Dry Dog Food. Real Chicken and Sweet Potato Recipe.,Dog,Terrier - Airedale,5,Years,Female,68.4,Pound
Redford Limited Ingredient Grain - Free Lamb and Sweet Potato,Dog,Weimaraner,8,Years,Male,37.4,Kilogram
Fromm's Four Star Grain Free Salmon and Tunalini,Dog,Mixed (Dog),3,Years,Male,40,Pound
Natural Balance LID High Protein Grain-free Lamb or Beef flavors,Dog,Mixed (Dog),9,Years,Female,28.5,Kilogram
"Nutrisource Large breed puppy Grain free, Nutro Large breed puppy Farm raised chicken,",Dog,Retriever - Golden,7,Months,Male,24,Kilogram
Taste of the Wild Grain Free,Dog,Pointing Dog - German,5,Years,Female,27,Kilogram
"Acana Puppy and Junior, Horizon Pulsar Pulses & Chicken formula Grain free, Fromm Adult Gold",Dog,Shepherd Dog - Belgian Tervueren,46,Months,Female,47.2,Pound
American Journey Grain-free Salmon & Sweet Potato Recipe,Dog,Great Dane,17,Months,Male,117,Pound
"Kirkland Signature Nature's Domain Cat Food, Wellness CORE Grain-Free Original Formula Dry Cat Food, BLUE",Cat,Domestic Shorthair,7.5,Years,Male,10,Pound
FROMM Salmon Tunalini,Dog,Sheepdog - Shetland,6,Years,Female,8.86,Kilogram
Horizons pulsar grain free diet,Dog,Mixed (Dog),4,Years,Male,27.7,Kilogram
Freshpet select roasted meals chicken flavor,Dog,Shih Tzu,10,Years,Male,20,Pound
Pine Forest Canine Recipe with Venison & Legumes - Taste of the Wild Pet Food,Dog,Shepherd Dog - Australian,4.5,Years,Female,53,Pound
Blue Wilderness Grain Free Chicken with life source bits both regular and healthy weight,Dog,Retriever - Golden,7,Years,Male,100,Pound
Six Fish Orijen,Dog,Brittany,8,Years,Female,39,Pound
"Holistic Select Adult Health Lamb Meal Recipe, Four Health",Dog,Mixed (Dog),7,Years,Female,47.4,Pound
Zignature Turkey Blend Grain Free,Dog,Mixed (Dog),10,Years,Male,Not provided,Not provided
Iams Proactive Health - Chicken Senior Plus Dry Dog Food,Dog,Retriever - Labrador,13.18,Years,Female,29.7,Kilogram
Rachel Ray's Chicken and Veggies,Dog,Retriever - Labrador,2,Years,Female,25.2,Kilogram
"Acana Singles Duck and Pear Formula Dry dog food, Wet Noses Grain Free pea and carrot",Dog,Retriever - Labrador,8,Years,Female,71,Pound
Taste of the Wild High Prairie,Dog,Beagle,9,Months,Male,14,Pound
Hill’s prescription diet grain free,Dog,Mixed (Dog),10,Years,Male,13,Pound
4health Open Highland Recipe,Dog,Mixed (Dog),1,Years,Female,54,Pound
Blue Buffalo Basics Limited Ingredient Grain-Free Formula,Dog,Retriever - Labrador,7,Years,Female,70,Pound
Annamaet Dog Food Grain Free,Dog,Retriever - Labrador,6,Years,Male,114,Pound
Acana Pacifica Regional,Dog,Retriever - Golden,11,Years,Male,55,Pound
ACANA Heritage Freshwater Fish Formula,Dog,American Pit Bull,3.5,Years,Male,72,Pound
ACANA Singles Limited Ingredient Diet Grain Free Lamb & Apple Dog Food,Dog,Retriever - Golden,8,Years,Male,30.4,Kilogram
ACANA - Heritage Red Meat Formula Dog Food (Grain-free),Dog,Shepherd Dog - German,11.5,Years,Female,25.9,Kilogram
Midwestern ProPac Bayside Select Grain Free,Dog,Collie - Border,1.5,Years,Female,29,Pound
Acana Lamb,Dog,Pointing Dog - German,3,Years,Female,55,Pound
Wellness Core grain free large breed puppy kibble,Dog,Retriever - Golden,11,Months,Male,28,Kilogram
Hills Science Diet Grain-free Chicken and potato,Dog,Retriever - Golden,6,Years,Male,75,Pound
Redford Naturals Duck and Sweet Potato,Dog,Boxer (German Boxer),4,Years,Female,Not provided,Not provided
Redford Naturals Duck and Sweet Potato,Dog,Boxer (German Boxer),2,Years,Male,Not provided,Not provided
Fromms Gold Coast Weight,Dog,Hound - Norwegian (Elk,11,Years,Male,155,Pound
Rachel Ray Nutrish Lamb Meal and Brown Rice,Dog,Great Pyrenees,2,Years,Female,35.4,Kilogram
Natural Balance Limited Ingrediant Diet,Dog,Retriever - Labrador,8,Years,Male,123,Pound
Taste of the Wild PREY Trout,Dog,Retriever - Golden,3,Years,Female,61,Pound
Acana Lamb and Apple,Dog,Retriever - Golden,8,Years,Female,80,Pound
Fromm Four-Star Nutritionals Beef Frittata Veg,Dog,Retriever - Golden,5,Years,Male,78,Pound
Zignature kangaroo and lentil,Dog,Corso Dog,5,Years,Male,61.4,Kilogram
Health Extension Grain Free Buffalo and Whitefish Recipe,Dog,Terrier (unspecified),2,Years,Female,29,Pound
Nature's Domain - Canned Grain free Dog Food,Dog,Retriever - Labrador,10,Years,Female,65,Pound
Performatrin Ultra® Grain-Free Foothills Recipe Dog Food,Dog,Mixed (Dog),10,Hours,Female,48,Pound
Grandma Lucy's Grain Free Food,Dog,Whippet,3,Years,Female,27,Pound
Acana Wild Prairie,Dog,Retriever - Golden,7,Years,Male,90,Pound
4Health Grain Free Beef and Potato,Dog,Retriever - Golden,6.5,Years,Female,55.4,Pound
Blue Buffalo Wilderness Salmon Recipe Grain Free Dry Dog Food,Dog,Terrier - Bull,9,Months,Male,38,Pound
V-Dog Kinder Kibble Vegan Adult Dry Dog Food Grain free diet: long term use for 3 years Then switched to Merrick Grain Free Salmona and Sweet Potato dry dog kibble Used for 2-3 years,Dog,Mixed (Dog),8,Years,Female,41,Pound
Zignature Kangaroo Formula Limited Ingredient Formula,Dog,Portuguese Water Dog,8,Years,Female,55,Pound
"Taste of the Wild Prey Trout Formula for Dogs, Grain-Free, Dry Dog Food",Dog,Mixed (Dog),7,Years,Female,Not provided,Not provided
Zignature Kangaroo Limited Ingredient Formula,Dog,Chihuahua,4,Years,Male,2,Kilogram
Rachael Ray Nutrish Super Premium Food For Dogs Real Chicken and Veggies Recipe,Dog,Dalmatian,11.5,Years,Female,55,Pound
Diamond Professional Plus grain free Chicken/Lentil formula Adult large breed                                                                ,Dog,Mastiff,3,Years,Female,120,Pound
Petco brand Whole Hearted Grain-Free food Whole Earth Farms Grain-Free food - typically some sort of Chicken & Potato recipe,Dog,Mixed (Dog),6,Years,Female,60,Pound
Earthborn Holistic Meadow Feast,Dog,Pointing Dog - German,5.5,Years,Male,63,Pound
4Health large breed dry food,Dog,Great Dane,2,Years,Unknown,Not provided,Not provided
Zignature Kangeroo and Lentil,Dog,Maltese,12,Years,Female,4.9,Kilogram
Kirkland Signature Nature's Domain Salmon Meal & Sweet Potato Dog Food (Grain Free),Dog,Saluki,12,Years,Male,60,Pound
Zignature Turkey Formula Limited Ingredient Formula,Dog,Other Canine/dog,2.5,Years,Male,64,Pound
"Acana Light & Fit (with free-run chicken wild flounder & Fraser Valley greens), Acana Adult Small Breed (with free-run chicken wild flounder & Fraser Valley greens)",Dog,Terrier - Yorkshire,9,Years,Female,3.6,Kilogram
Earthborn grain free,Dog,Shepherd Dog -,6,Years,Female,14.1,Kilogram
"PureVita Venison & Red Lentils Grain-Free Dry Dog Food, NutriSource Adult Chicken and Rice formula",Dog,American Pit Bull,2.6,Years,Male,32,Kilogram
4health Untamed Open Highland Recipe lamb and lentil formula,Dog,Shepherd Dog -,2,Years,Female,30,Kilogram
ACANA Senior,Dog,Retriever - Labrador,10,Years,Male,92,Pound
Pure balance chicken and rice grain free,Dog,Rottweiler,4,Years,Male,110,Pound