State,Population
California,39865590
Texas,29206997
Florida,21299325
New York,19542209
Pennsylvania,12807060
Illinois,12741080
Ohio,11689442
Georgia,10519475
North Carolina,10383620
Michigan,9995915
New Jersey,8908520
Virginia,8517685
Washington,7535591
Arizona,7171646
Massachusetts,6902149
Tennessee,6770010
Indiana,6691878
Missouri,6126452
Maryland,6042718
Wisconsin,5813568
Colorado,5695564
Minnesota,5611179
South Carolina,5084127
Alabama,4887871
Louisiana,4659978
Kentucky,4468402
Oregon,4190713
Oklahoma,3943079
Connecticut,3572665
Utah,3161105
Iowa,3156145
Nevada,3034392
Arkansas,3013825
Mississippi,2986530
Kansas,2911505
New Mexico,2095428
Nebraska,1929268
West Virginia,1805832
Idaho,1754208
Hawaii,1420491
New Hampshire,1356458
Maine,1338404
Montana,1062305
Rhode Island,1057315
Delaware,967171
South Dakota,882235
North Dakota,760077
Alaska,737438
Vermont,626299
Wyoming,577737